ROUTES,Number_of_Stops
,3
88,62
8A,122
192,8
62H,82
N20,17
N22,2
111,172
112,100
755,4
90,110
90N,43
91,148
92,103
119,96
93,119
94,174
96,55
97,119
10,41
11,187
12,132
13,2
14,12
15,179
17,71
18,106
19,18
120,19
121,21
1,122
122,12
123,13
2,108
3,213
124,35
4,202
125,37
126,143
6,118
7,132
128,4
129,86
8,220
9,273
63W,45
20,132
21,145
22,173
24,160
26,139
52A,135
28,102
29,199
130,36
132,26
134,39
N49,1
135,60
136,75
N151,4
49A,103
49B,61
30,180
33,20
34,103
35,137
24,1
36,165
53A,152
39,107
143,43
144,65
145,87
146,98
147,79
148,44
302,4
X98,2
307,39
81W,81
43,70
44,149
N201,41
54A,130
54B,104
47,149
48,110
49,242
39,1
N60,12
N62,35
151,196
152,164
N66,18
155,50
156,89
157,95
318,22
50,176
51,73
52,194
53,177
X28,126
54,136
55,137
56,147
55A,22
57,64
59,136
N4,12
N5,206
95E,82
N9,43
55N,39
165,35
201,115
322,23
169,17
205,100
206,134
60,136
95W,55
62,206
63,151
64,22
65,164
66,142
56A,54
67,172
68,70
69,45
170,16
171,24
172,26
70,119
71,157
72,144
73,125
74,128
75,124
76,143
77,170
78,139
79,206
85A,69
J14,63
100,111
103,118
106,46
755,9
80,162
81,100
108,96
82,209
84,68
85,139
86,127
87,173
